gene,count
PRDM9, 774
ZNF100, 1290
ZNF100-rep2, 2613
ZNF100-rep3, 680
ZNF101, 1913
ZNF10, 1048
ZNF114, 70
ZNF124, 650
ZNF12, 686
ZNF132, 457
ZNF133, 5769
ZNF135, 1504
ZNF136, 4168
ZNF141, 3824
ZNF154, 247
ZNF157, 788
ZNF169, 1552
ZNF169-rep2, 1524
ZNF17, 1893
ZNF180, 636
ZNF181, 48
ZNF182, 0
ZNF184, 254
ZNF189, 4082
ZNF18, 349
ZNF197, 517
ZNF19, 649
ZNF202, 18059
ZNF205, 44
ZNF211, 481
ZNF211-rep2, 574
ZNF212, 123
ZNF214, 23
ZNF222, 1611
ZNF223, 183
ZNF224, 288
ZNF225, 160
ZNF235, 46
ZNF248, 5464
ZNF254, 448
ZNF257, 20140
ZNF25, 138
ZNF263, 13230
ZNF264, 256
ZNF266, 1219
ZNF267, 1365
ZNF26, 2556
ZNF273, 9678
ZNF274, 641
ZNF282, 7605
ZNF282-rep2, 6776
ZNF283, 2291
ZNF284, 7111
ZNF285, 174
ZNF287, 1184
ZNF28, 10509
ZNF2, 3443
ZNF300, 344
ZNF302, 302
ZNF304, 954
ZNF30, 775
ZNF311, 168
ZNF317, 2486
ZNF320, 1530
ZNF324B, 36
ZNF324, 425
ZNF331, 672
ZNF333, 1431
ZNF334, 219
ZNF337, 1358
ZNF33A, 892
ZNF33A-rep2, 931
ZNF33B, 183
ZNF343, 5021
ZNF354A, 625
ZNF354B, 52
ZNF382, 7496
ZNF382-rep2, 10370
ZNF383, 654
ZNF398, 291
ZNF3, 118
ZNF417, 629
ZNF418, 163
ZNF419, 30
ZNF419-rep2, 51
ZNF425, 5966
ZNF429, 4126
ZNF430, 436
ZNF431, 235
ZNF432, 206
ZNF433, 884
ZNF439, 36
ZNF440, 2055
ZNF441, 16811
ZNF442, 41
ZNF443, 101
ZNF445, 5247
ZNF44, 2292
ZNF454, 144
ZNF45, 38
ZNF460, 5102
ZNF468, 7403
ZNF479, 20402
ZNF480, 1034
ZNF483, 511
ZNF484, 218
ZNF485, 5899
ZNF486, 65
ZNF487P, 152
ZNF492, 160
ZNF496, 43
ZNF506, 5375
ZNF519, 13704
ZNF525, 760
ZNF527, 139
ZNF529, 106
ZNF530, 706
ZNF534, 24572
ZNF540, 112
ZNF543, 905
ZNF547, 2296
ZNF548, 179
ZNF549, 363
ZNF549-rep2, 662
ZNF550, 105
ZNF552, 35
ZNF555, 542
ZNF557, 1286
ZNF558, 1496
ZNF561, 964
ZNF562, 353
ZNF564, 552
ZNF565, 1021
ZNF566, 367
ZNF567, 859
ZNF570, 270
ZNF571, 623
ZNF573, 1025
ZNF582, 42
ZNF584, 221
ZNF585A, 4475
ZNF587, 335
ZNF605, 1672
ZNF610, 3302
ZNF611, 4251
ZNF613, 812
ZNF614, 124
ZNF615, 50
ZNF616, 912
ZNF619, 78
ZNF620, 31
ZNF621, 206
ZNF626, 221
ZNF627, 990
ZNF641, 731
ZNF649, 3591
ZNF662, 372
ZNF667, 52
ZNF669, 269
ZNF671, 3415
ZNF674, 4406
ZNF675, 3854
ZNF680, 15424
ZNF680-rep2, 8700
ZNF681, 392
ZNF682, 2050
ZNF682-rep2, 3036
ZNF684, 383
ZNF695, 8192
ZNF69, 84
ZNF701, 404
ZNF705G, 29
ZNF707, 1692
ZNF708, 555
ZNF714, 602
ZNF716, 1221
ZNF730, 1013
ZNF736, 3975
ZNF737, 12
ZNF749, 167
ZNF74, 46
ZNF75D, 5978
ZNF75D-rep2, 4147
ZNF764, 51
ZNF765, 2489
ZNF766, 6101
ZNF776, 476
ZNF777, 819
ZNF778, 1521
ZNF77, 245
ZNF780A, 1171
ZNF782, 114
ZNF783, 4960
ZNF785, 18
ZNF786, 4750
ZNF789, 621
ZNF790, 73
ZNF791, 79
ZNF792, 177
ZNF793, 10812
ZNF799, 578
ZNF79, 74
ZNF7, 233
ZNF805, 150
ZNF808, 2562
ZNF816, 196
ZNF81, 618
ZNF823, 2509
ZNF846, 2810
ZNF84, 11590
ZNF85, 245
ZNF860, 528
ZNF879, 837
ZNF880, 57
ZNF891, 209
ZNF8, 96
ZNF90, 1083
ZNF93, 3157
